name,company,area,min_salary,max_salary,description,link
实习生,成都盛博国际,成都·温江区·涌泉,0.3,0.6,本岗位是实习岗位，办公室是home office，公司主要从事广告活动策划，需要文案人员，活动策划为主。要求为有一定文案功底和PPT功底。本职位周一-周五上班，上班时间周一到周五 10点-6点，前半年每月实习阶段工资500，后半年看工作表现，工资大概3500左右，其他补助按照项目提成。,https://www.zhipin.com/job_detail/96bf5ac6f267cef31XBz3t2-GVI~.html?lid=4WmKvkdU3Ra.search.153&securityId=Dq-5LWVmlTqVB-T1uZtiBIF2eqDOPq_BxlXuyyHjGQQMCqdt1PneVhNZ72NP_DCKRDuiIct8Bl6lj7BkAf5ddc5Z2vvIpMtVdep6l5pOpLM_dz_K&sessionId=
成都分行-人力资源实习生,民泰银行,成都·青羊区·太升路,1.0,2.0,（一）人力资源实习生工作地点：成都市青羊区德盛路25号民泰银行成都分行岗位职责：1.协助部门招聘信息发布及更新招聘信息，维护和运营常用招聘渠道，主动进行人才搜索，简历筛选及评估；2.协助收集并整理新入职员工资料、人力资源相关系统维护与更新； 3.协助进行员工关系管理工作，完成员工合同的签订等相关工作4.协助处理部门其他日常事务  申请条件：1.本科及以上学历，2024、2025届在校生，人力资源管理相关专业在读；2.对人力资源领域有浓厚兴趣，具备较强的学习能力、理解能力、沟通能力及良好的团队协作意识；3. 能熟练操作OFFICE办公软件；4.实习期最短1个月，无课程协调冲突；5.诚实守信、性格开朗、身体健康，无不良行为记录。,https://www.zhipin.com/job_detail/91ef2a45ceb7dc841X1_2924F1NZ.html?lid=4WmKvkdU3Ra.search.129&securityId=P6dw3GV9rgUYH-81i9rNxZ96qlmkLdTWntEKO61Vxjpd-P20vNaQmVS4RRPhckerP4ERv7Q1ieaSqkWu3qYc-4feH5Iv7jVWaKCjSxnMgdjyTFOV_Q~~&sessionId=
水产实习生，储备干部,成都禾枫,成都,1.0,4.0,1，工作概述：负责公司水产品的养殖，水产品疾病的防治，以及新养殖模式的探索2，职位描述：A 加州鲈鱼的苗种培育                    B 内循环的养殖管理                    C 新型养殖模式的探索3，任职要求：A 3年以上的水产养殖经验                    B 25岁以上，水产专业优先                    C 吃苦耐劳，积极乐观，团队合作意识强                    D 热爱水产行业，熟知相关政策4，特别优秀应届生也可录取,https://www.zhipin.com/job_detail/05b638c1785e919903R82dq7E1o~.html?lid=4WmKvkdU3Ra.search.126&securityId=0BNLiRbGIYylO-R1gdexTJMwn48It21K-qplSfNPqxNHiS18SCO8kyVoNokBD94ASFRbmPd_wt_p2UXLP3IsR6I7Igv6r00cz2cf13DzD_EBXiLk&sessionId=
量化投研实习生,旷惟基金,成都·锦江区·沙河,1.0,2.0,职位需求：编程好，编程好，编程好学习能力强，学习能力强，学习能力强，Python Must；R ， C++，Sql不会交易/金融，我们可以教工作内容：量化交易/投资相关的数据库维护，因子开发，高性能计算一周不少于三天，后期可远程，初期需要on site实习优秀的，毕业全职入职。本职位目的在于全职留用，24，25，26毕业均可。,https://www.zhipin.com/job_detail/07ca8a2316ce45621XV739m-GFVR.html?lid=4WmKvkdU3Ra.search.123&securityId=YMIY-BYBb1OWL-j1i2X0z0zk9YvmQJumviknlAG5sGCBzIjGZa-MNX-tHGnfL-fYq2_M9IHIkwDV3bvCF2SCB0aGyOX_qWMrjRIVRtRVa9VFf4b68vM~&sessionId=
环境采样实习生,四川太利,成都·青羊区·中坝,1.0,2.0,【岗位职责】1. 学习环境采样相关技术规范标准；2. 准备采样仪器和相关耗材；3. 外出协助进行废气、环境空气、土壤、水质、噪声等采样工作；4. 学习填写样品编号标识和采样原始记录，按照标准要求对样品进行包装、保存和运输，将样品及时送交实验室，确保样品的时效性；5. 采样后的现场清理工作，对废弃的采样器材、防护器材按要求进行处理；6. 学习核对原始记录，保证采样过程操作的正确性和样品的真实性、有效性、完整性。【任职要求】1. 大学专科及以上学历，环境类、化学类、水利水电等相关专业24届及25 届优先；2. 持C1驾照；3. 善于沟通，有团队协作能力，有独立分析、解决问题的能力；4. 对环境监测、公共卫生等领域专业知识有一定认知基础，有相关实习经历优先；5. 实习时间1-3个月，每周能够出勤5天优先。【福利待遇】1. 实习补贴，周末双休，法定节假日；2. 公平公开公正的工作环境，一份收获满满的实习经历（表现优异可转正）；3. 定期培训学习、节日礼品、团建拓展。欢迎同学们投递【环境采样实习生】岗位！,https://www.zhipin.com/job_detail/3c81003a439fd79a1HB_39m0F1BV.html?lid=4WmKvkdU3Ra.search.51&securityId=qyZUnuGhw3kMH-O1bUOLo_-Jw5SYliXZ1hNsv6yauVvnJNSooR_XLNIZR8G-WP_J-ATZOnjf_qfGc6ccI9WC2ngxlDbJ7374nfM1pz7TIZSu6h-aGQ~~&sessionId=
实习生,天府公艺派,成都·金牛区·金泉,1.8,2.4,岗位职责 1.在项目主管的统筹安排下开展工作；2.根据项目任务书， 与团队成员一起开展项目活动；3.与项目利益相关方保持良好的沟通和合作关系；4.撰写项目有关文档，并整理、归档、保管项目资料；5.完成项目办和机构交办的临时性工作。任职要求1.热爱公益事业，认同社会工作或公益价值，性格开朗；2.包含但不限于社会工作相关专业大专学历及以上，有一定的思考及行动能力；3.责任心强，工作细心，性格开朗，能吃苦耐劳； 4.具有良好的亲和力和沟通表达能力，有一定的文案工作能力,https://www.zhipin.com/job_detail/9cf1ecf3a0a262061nF529W7Flo~.html?lid=4WmKvkdU3Ra.search.152&securityId=m4kGccDd5Y7VG-Q1DxRXzRPrE7mLSg57EiE-YNq2G9w9thpvZL2wtkmr7oRlTvB9nfF7IAPScXT2Sq-me2WMMnhIlO9Z5sKcJkLQnIDv-o4wdszb&sessionId=
应届实习生,成都安宇腾,成都·金牛区·金泉,2.0,4.0,1、面向移动、高校、政府等大客户销售各类仪器和实训室建设、仿真教学软件、软件定制开发；2、技术岗希望是通信、电子、计算机等相关专业，研究生及以上学历，有一定项目经验，本科985/211以上；3、销售岗希望是大专及以上，25年毕业的实习生，性格开朗，灵活积极，热爱销售工作，专业不限。（主要招聘方向）5、工作时间：8：30--18：00，午休1.5小时，双休。欢迎投递简历！,https://www.zhipin.com/job_detail/00d3bb6044909c821HZ73NW1GVRX.html?lid=4WmKvkdU3Ra.search.122&securityId=-3xgGEgHJ6zzA-n1S6ez-Fi1an0hOPHqS6yZ90yfpByT-3na8JWhiws4UuLYOePhD8MZN0kWgg0GAtiVGIHgmr-kpqJWCQMDRL-LV9Q4cUyoQz8rPPI~&sessionId=
ae实习生,旭星佳程,成都·武侯区·桂溪,2.0,3.0,以下这句话读三遍：只要25/26应届啊朋友们！！上下班时间----10：00-17：30，周末双休，每月另加一天带薪假岗位描述：1. 希望你是某一款游戏资深玩家，在执行过程中根据实际情况提出合理的建议及调整主动寻求最优的解决方案。2. 前期筹备：参与到大型电竞赛事、游戏周年庆、大型漫展筹备的筹备环节中，根据策划方案协助项目对接同事完成各类资源开发管理。3. 中期执行：负责软装物料搭建落地与人员彩排培训，活动期的现场执行管控以及应对突发事件应急处理。4. 后期结案：各类设计文件、活动数据和现场执行照片等信息的汇总整理，撰写项目结案报告，进行成本核算，完成项目收尾工作。任职要求:全职实习。1、对游戏行业有深入了解，对游戏传播、市场营销行为有一定的了解，更希望你了解全国漫展，是逛展爱好者或二次元爱好者。2、如果你是原神/星铁/第五人格/光遇等游戏玩家更是加分项，掌握基本办公软件，有一定的抗压能力，会出差。3、能力匹配，实习结束后将提供offer正式入职。,https://www.zhipin.com/job_detail/a1eb6935f1156af81HR92du5FFNR.html?lid=4WmKvkdU3Ra.search.121&securityId=rwxA4JWGN90v2-71OqDDstFhJ8GrWJgWEL01YvFt0n5EnA4wygqfQ0clh2wQs-EvkaIZAdNmhgK8XAZnSEGcy8_EAydfrfMP3h1rPXz5nNSkUpbK2y0~&sessionId=
招25届实习生—AI提示词训练师,酷码科技,成都·金牛区·人民北路,2.0,3.0,工作内容是做AI提示词训练。要求：对AI有浓厚兴趣，学习能力强。25年之后毕业的，统招学历。专业不限，人工智能、计算机相关专业优先。,https://www.zhipin.com/job_detail/53197de83ccceee71HBz29S1F1VT.html?lid=4WmKvkdU3Ra.search.17&securityId=MuDxHqlHQfugg-i1ydsLcDFSpoLGM8hLCsKrxjIKUz_uon4WPG9lBGQWeEEt2lBQva1P2EctD9D4H1Gl_UDUooOY9bYemBXz0GZy-9h2ELR_FtgYxg~~&sessionId=
u3d开发实习生,当乐网,成都·武侯区·新会展中心,2.0,3.0,岗位职责：1、参与unity引擎游戏的功能模块开发；2、参与游戏与美术需求在客户端的技术实现；任职要求：1、计算机专业本科学历25届实习生，能全职实习优先，表现优异毕业可留用转正；2、熟练掌握C#语言，熟练使用Unity3D编辑器，掌握Unity开发相关的常用工具和插件；3、具备良好的沟通能力和团队协作能力；,https://www.zhipin.com/job_detail/c5f2124b060645bf1HBy09u4F1RQ.html?lid=4WmKvkdU3Ra.search.65&securityId=4xl3I6BHAvENj-x1_xe_4p7FWOyMCAHROXfAKM1AeWpMFmIx-0YvjmTg5WOxi8eFeM6z4QcUrvgD2I-zD0OJ8DoQsMumSAe4_3J_qinLwT96Rv_hu_h_&sessionId=
